,0
1852,960
1853,1020
1854,420
1855,1920
1856,600
1857,1500
1858,2160
1859,660
1860,1260
1861,1500
1862,1920
1863,540
1864,1440
1865,1440
1866,1920
1867,1680
1868,1920
1869,1080
1870,2280
1871,900
1872,1380
1873,1440
1874,1200
1875,1320
1876,1080
1877,2160
1878,1020
1879,420
1880,1440
1881,1200
1882,1800
1883,600
1884,1380
1885,1680
1886,2040
1887,1860
1888,360
1889,1380
1890,1980
1891,2100
1892,540
1893,1020
1894,1140
1895,720
1896,1260
1897,2340
1898,540
1899,1680
1900,1260
1901,540
1902,1500
1903,840
1904,2040
1905,1560
1906,2520
1907,2580
1908,1740
1909,1920
1910,1380
1911,1380
1912,240
1913,2580
1914,1800
1915,1680
1916,1800
1917,1260
1918,2040
1919,1920
1920,2040
1921,1980
1922,780
1923,1620
1924,1560
1925,1500
1926,1320
1927,1620
1928,2280
1929,840
1930,1860
1931,1740
1932,1980
1933,1200
1934,840
1935,1440
1936,1620
1937,1380
1938,1680
1939,0
1940,1020
1941,1380
1942,2520
1943,2040
1944,2220
1945,1200
1946,1260
1947,2340
1948,1680
1949,1800
1950,1920
1951,1980
1952,1140
1953,1620
1954,2220
1955,1440
1956,0
1957,780
1958,2520
1959,2160
1960,900
1961,1500
1962,660
1963,1020
1964,1020
1965,960
1966,1560
1967,1740
1968,1440
1969,2520
1970,840
1971,1860
1972,2280
1973,1560
1974,1380
1975,2400
1976,1980
1977,1500
1978,960
1979,1740
1980,1020
1981,960
1982,1200
1983,2100
1984,1800
1985,2220
1986,1680
1987,1440
1988,1020
1989,1080
1990,2100
1991,1440
1992,2400
1993,1620
1994,960
1995,1620
1996,2220
1997,1920
1998,600
1999,840
2000,2400
2001,540
2002,2520
2003,1560
2004,2040
2005,660
2006,1380
2007,1800
2008,2280
2009,2040
2010,1980
2011,420
2012,780
2013,1260
2014,2280
2015,2280
2016,2100
2017,480
2018,480
2019,1080
2020,2280
2021,2040
2022,1740
2023,960
2024,1560
2025,2460
2026,2220
2027,1860
2028,1920
2029,1980
2030,1920
2031,1860
2032,2520
2033,1080
2034,1260
2035,1680
2036,1620
2037,1920
2038,1260
2039,1680
2040,1680
2041,1980
2042,2220
2043,1440
2044,2100
2045,1500
2046,2280
2047,1800
2048,1260
2049,1260
2050,1860
2051,1440
2052,1560
2053,1740
2054,1680
2055,2100
2056,960
2057,1200
2058,1560
2059,1620
2060,2460
2061,1320
2062,2280
2063,780
2064,1980
2065,840
2066,1920
2067,2160
2068,2040
2069,1620
2070,1320
2071,1260
2072,1260
2073,1860
2074,1080
2075,1500
2076,1020
2077,1020
2078,1920
2079,2460
2080,1380
2081,1620
2082,1320
2083,1920
2084,1920
2085,1800
2086,2220
2087,840
2088,1440
2089,1860
2090,1260
2091,1800
2092,1380
2093,1500
2094,2520
2095,1740
2096,1320
2097,1860
2098,1620
2099,1080
2100,2340
2101,1440
2102,1620
2103,1320
2104,2160
2105,1080
2106,1380
2107,1320
2108,1980
2109,1800
2110,1440
2111,1500
2112,960
2113,1620
2114,780
2115,540
2116,1500
2117,2040
2118,1200
2119,600
2120,1140
2121,1800
2122,1020
2123,1380
2124,720
2125,0
2126,360
2127,1500
2128,1260
2129,2340
2130,2340
2131,1860
2132,1920
2133,1920
2134,60
2135,2400
2136,720
2137,1620
2138,1620
2139,1800
2140,720
2141,2220
2142,540
2143,1680
2144,840
2145,120
2146,780
2147,240
2148,540
2149,660
2150,840
2151,1500
2152,960
2153,1680
2154,1200
2155,1020
2156,1020
2157,2580
2158,1260
2159,2400
2160,1980
2161,240
2162,1020
2163,900
2164,840
2165,960
2166,540
2167,1380
2168,1500
2169,720
2170,1680
2171,2400
2172,1620
2173,1380
2174,1440
2175,2400
2176,1200
2177,1680
2178,960
2179,1620
2180,300
2181,2100
2182,2040
2183,1680
2184,1920
2185,360
2186,1080
2187,240
2188,1320
2189,1080
2190,2100
2191,600
2192,960
2193,1380
2194,1500
2195,1680
2196,1560
2197,2040
2198,1560
2199,1680
2200,1200
2201,2280
2202,1620
2203,1800
2204,1620
2205,1620
2206,1380
2207,2220
2208,2520
2209,1140
2210,1440
2211,1380
2212,1920
2213,2280
2214,2520
2215,2340
2216,1260
2217,1440
2218,1320
2219,1860
2220,2640
2221,1020
2222,1500
2223,1980
2224,2100
2225,1200
2226,1260
2227,1740
2228,1620
2229,1440
2230,1980
2231,1860
2232,1100
2233,1740
2234,1740
2235,1440
2236,1560
2237,1980
2238,2460
2239,1920
2240,1380
2241,1620
2242,1800
2243,1140
2244,2160
2245,2100
2246,1380
2247,1440
2248,2340
2249,1620
2250,1740
2251,1560
2252,1860
2253,1620
2254,2040
2255,2040
2256,1980
2257,1380
2258,1500
2259,1560
2260,1320
2261,2280
2262,1860
2263,1680
2264,1380
2265,2160
2266,1740
2267,1440
2268,1620
2269,1680
2270,1920
2271,1860
2272,2100
2273,1440
2274,2100
2275,1620
2276,1680
2277,1740
2278,1500
2279,1620
2280,1680
2281,2100
2282,1920
2283,1620
2284,2400
2285,1800
2286,2100
2287,2280
2288,1500
2289,1680
2290,1440
2291,0
2292,1380
2293,1740
2294,1860
2295,1560
2296,1680
2297,1500
2298,1200
2299,840
2300,1620
2301,2100
2302,1500
2303,720
2304,1980
2305,2100
2306,2220
2307,2460
2308,2460
2309,1440
2310,1260
2311,2280
2312,1440
2313,1320
2314,1200
2315,1740
2316,1020
2317,2280
2318,1200
2319,1380
2320,1860
2321,1500
2322,1620
2323,780
2324,600
2325,1980
2326,1380
2327,1080
2328,1740
2329,1740
2330,1500
2331,900
2332,2040
2333,1800
2334,2640
2335,1440
2336,480
2337,780
2338,720
2339,600
2340,540
2341,1260
2342,780
2343,1200
2344,480
2345,1380
2346,1320
2347,1260
2348,1200
2349,960
2350,1260
2351,1920
2352,2100
2353,1320
2354,1140
2355,1380
2356,2040
2357,0
2358,1320
2359,1140
2360,960
2361,1080
2362,1740
2363,1020
2364,1140
2365,840
2366,1080
2367,1440
2368,1500
2369,1200
2370,900
2371,600
2372,1200
2373,600
2374,1740
2375,1320
2376,1200
2377,720
2378,660
2379,1140
2380,720
2381,1800
2382,0
2383,0
2384,300
2385,240
2386,660
2387,120
2388,0
2389,420
2390,0
2391,1200
2392,300
2393,0
2394,720
2395,120
2396,180
2397,540
2398,480
2399,60
2400,60
2401,60
2402,120
2403,420
2404,60
2405,60
2406,60
2407,0
2408,60
2409,0
2410,180
2411,780
2412,780
2413,1140
2414,960
2415,1200
2416,780
2417,600
2418,480
2419,600
2420,360
2421,420
2422,1140
2423,1140
2424,660
2425,780
2426,1560
2427,900
2428,840
2429,1140
2430,0
2431,1680
2432,2040
2433,960
2434,1260
2435,1560
2436,1380
2437,1380
2438,720
2439,960
2440,960
2441,1080
2442,1020
2443,780
2444,960
2445,1440
2446,1020
2447,720
2448,720
2449,720
2450,1680
2451,2160
2452,960
2453,420
2454,540
2455,2460
2456,360
2457,960
2458,2280
2459,900
2460,1380
2461,1320
2462,1200
2463,1380
2464,1440
2465,960
2466,1140
2467,960
2468,1620
2469,840
2470,900
2471,1860
2472,1020
2473,1020
2474,1140
2475,960
2476,960
2477,1080
2478,900
2479,1620
2480,960
2481,1140
2482,960
2483,1080
2484,720
2485,1140
2486,780
2487,780
2488,1680
2489,780
2490,840
2491,1020
2492,900
2493,960
2494,660
2495,1200
2496,600
2497,1080
