,Name,Price,Seller,Amount Sold,Seller's town,Rating
312,Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,2rb+ terjual,Kab. Garut,4.9
313,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
314,"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp9.999,aghniya,60+ terjual,Tangerang Selatan,4.8
315,Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,Rp22.500,adistri snack,,Kab.Ciamis,
316,kerupuk seblak 1kg - 1 kg,Rp42.000,zyvasnack,1 terjual,Kab. Purworejo,
317,Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,Rp9.000,The Little Snacks,500+ terjual,Tangerang Selatan,4.9
318,kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,Rp20.482,Adila_Putri_Snack,100+ terjual,Kab.Ciamis,4.8
319,seblak kencur / okesnack,Rp10.000,oke snack,750+ terjual,Jakarta Selatan,4.9
320,Kylafood Seblak Tulang Rawan 203gr,Rp29.900,Mode Mart Official Store,2 terjual,Bandung,
321,SEBLAK ACI JAGUAR TERLEZAT BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,Rp10.000,Uai Food,750+ terjual,Surabaya,4.8
322,"Seblak kuah instan , Seblak khas garut b",Rp5.000,iwan resistans leather 2,500+ terjual,Kab. Garut,4.9
323,Keripik Cireng Seblak Bandung,Rp17.100,BarokahJayaSnack,40+ terjual,Bandung,4.7
